i, bike_url, transit_url
2,http://maps.googleapis.com/maps/api/directions/json?origin=from_station_lat,from_station_long&destination=to_station_lat,to_station_long&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=from_station_lat,from_station_long&destination=to_station_lat,to_station_long&mode=transit&departure_time=1393450200&sensor=false
3,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
4,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
5,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
6,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
7,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
8,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
9,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
10,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
11,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
12,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
13,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=bicycling&sensor=false,http://maps.googleapis.com/maps/api/directions/json?origin=0.0,0.0&destination=0.0,0.0&mode=transit&departure_time=1393450200&sensor=false
